Nombre,Anyo,Roles,Peliculas,Premios
Latoya Lewis,-1,Reparto,"Crossing the Rubicon, Neptunus Rex, Red Dead Redemption",No tiene premios
David Mead,-1,Reparto,"Crossing the Rubicon, Dark Knight",No tiene premios
Nicole Mitchell,-1,Reparto,Crossing the Rubicon,No tiene premios
Kelsey Myrvold,-1,Reparto,"Crossing the Rubicon, Karl",No tiene premios
Sylvester Stallone,1946,Reparto. Producción. Guion,"Rocky, Rocky IV, Creed. La leyenda de Rocky",Nominado para 3 premios Óscar
Charles S. Dutton,1951,Reparto. Producción. Dirección,"Alien³, Gothika, Tiempo de matar",Ganó 3 premios Primetime Emmy
Polly Walker,1966,Reparto. Banda sonora,"Roma, Emma, Furia de titanes",Otros premios
Kris Kristofferson,1936,Music Artist. Reparto. Composición,"Blade, Blade II, Payback",Nominado para 1 premio Óscar
Mif,-1,Reparto. Sonido. Banda sonora,"Infalible, Kick Ass 2: Con un par, D-Tox (Ojo asesino)",No tiene premios
Christopher Fulford,1955,Reparto,"Scoop, Feliz Navidad, D-Tox (Ojo asesino)",No tiene premios
Jeffrey Wright,1965,Reparto. Producción. Equipos adicionales,"American Fiction, La Crónica Francesa, The Batman",Nominado para 1 premio Óscar
Tom Berenger,1949,Reparto. Producción. Guion,"Platoon, Origen, Reencuentro",Nominado para 1 premio Óscar
Stephen Lang,1952,Reparto. Producción. Guion,"Avatar, No respires, Avatar: El sentido del agua",Otros premios
A.C. Peterson,-1,Reparto. Producción. Especialistas,"Narc, Shanghai Kid: Del Este al Oeste, Pay Your Bill",Otros premios
Ben Affleck,1972,Producción. Reparto. Guion,"Argo, Perdida, The Town: Ciudad de ladrones",Ganó 2 premios Óscar
Morgan Freeman,1937,Reparto. Producción. Dirección,"Seven, Paseando a Miss Daisy, El caballero oscuro",Ganó 1 premio Óscar
Ian Mongrain,-1,Cámara y electricidad. Edición. Reparto,"Pánico nuclear, X-Men: Días del futuro pasado, Código fuente",No tiene premios
Russell Bobbitt,-1,Arte. Reparto. Producción,"Vengadores: Endgame, Vengadores: Infinity War, Guardianes de la Galaxia Vol. 2",Otros premios
James Cromwell,1940,Reparto. Producción. Banda sonora,"L.A. Confidential, La milla verde, Star Trek: Primer contacto",Nominado para 1 premio Óscar
Ken Jenkins,1940,Reparto. Banda sonora,"Scrubs, El último hombre, Pánico nuclear",Otros premios
Bruce McGill,1950,Reparto. Banda sonora,"Un ciudadano ejemplar, Desmadre a la americana, Timecop: Policía en el tiempo",Otros premios
John Beasley,1943,Reparto. Música. Banda sonora,"Anarchy: La noche de las bestias, Pánico nuclear, La hija del general",Otros premios
Philip Baker Hall,1931,Reparto. Banda sonora,"Magnolia, Boogie Nights, Hard Eight, Sidney",Otros premios
Al Vandecruys,-1,Reparto,"Pánico nuclear, El aviador, El día de mañana",No tiene premios
Matt Dillon,1964,Reparto. Dirección. Producción,"Algo pasa con Mary, Crash (Colisión), Drugstore Cowboy",Nominado para 1 premio Óscar
James Caan,1940,Reparto. Dirección. Especialistas,"Ladrón, Rollerball, ¿un futuro próximo?, El padrino",Nominado para 1 premio Óscar
Natascha McElhone,1969,Reparto. Producción. Banda sonora,"Solaris, Ronin, El show de Truman",Otros premios
Gérard Depardieu,1948,Reparto. Producción. Dirección,"Cyrano de Bergerac, El hombre de la máscara de hierro, Matrimonio de conveniencia",Nominado para 1 premio Óscar
Kem Sereyvuth,-1,Reparto,"La ciudad de los fantasmas, Holly",No tiene premios
Stellan Skarsgård,-1,Reparto. Producción. Guion,"El indomable Will Hunting, Nymphomaniac (volumen 1), Amistad",Nominado para 1 premio Primetime Emmy
Rose Byrne,1979,Reparto. Producción. Banda sonora,"Espías, Insidious, La boda de mi mejor amiga",Nominado para 2 premios Primetime Emmy
Shawn Andrews,1971,Reparto,"Fix, Big Heart City, Movida del 76",Otros premios
Chalee Sankhavesa,-1,Reparto,"The Creator, La ciudad de los fantasmas",No tiene premios
Christopher Curry,1948,Reparto. Guion. Equipos adicionales,"Sully, Banderas de nuestros padres, La ciudad de los fantasmas",No tiene premios
Amélia Corôa,-1,Reparto,"A Mulher Polícia, Esquece Tudo O Que Te Disse, Até Amanhã, Camaradas",No tiene premios
Ludovic Videira,-1,Reparto,A Mulher Polícia,No tiene premios
Maria Silva,-1,Reparto,A Mulher Polícia,No tiene premios
Miguel Romeira,-1,Reparto,"Maiores de 20, Mar Salgado, Olhos nos Olhos",No tiene premios
Norberto Barroca,-1,Reparto. Guion. Diseño de producción,"Morgana, Volpone, Passagem por Lisboa",No tiene premios
João Manata,-1,Reparto,A Mulher Polícia,No tiene premios
Joaquim Santos,-1,Reparto. Cámara y electricidad,"A Mulher Polícia, Deixa-me Amar, Fúria de Viver",No tiene premios
José Pinto,-1,Reparto,"Capitão Falcão, A Sombra dos Abutres, Aparelho Voador a Baixa Altitude",Otros premios
Vítor Norte,1951,Reparto. Guion,"Terra Nova - O Filme, Tarde Demais, A Sombra dos Abutres",Otros premios
Jorge Fernandes,-1,Reparto,A Mulher Polícia,No tiene premios
David Carradine,1936,Reparto. Producción. Dirección,"Kill Bill: Volumen 2, Esta tierra es mi tierra, La carrera de la muerte del año 2000",Nominado para 1 premio Primetime Emmy
Michael Maloney,1957,Reparto. Banda sonora,"La reina Victoria, Enrique V, Diario de un escándalo",Otros premios
Mariel Hemingway,1961,Reparto. Producción. Equipo ejecutivo,"Manhattan, Superman IV: En busca de la paz, Creator",Nominado para 1 premio Óscar
Marina Anderson,-1,Reparto. Producción. Guion,"The Red Maple Leaf, El sexo y la Sra. X, Kung Fu: la leyenda continúa",Otros premios
Maite Arnedo,-1,Reparto,"Walker, Texas Ranger, Tres para todo, Out of the Blue",No tiene premios
Larissa Borkowski,-1,Reparto. Guion y continuidad,"Dual Mania, Death and Taxis, Vivid",No tiene premios
Frank Casagrande,-1,Reparto. Producción,"On the Wing, American Reel",No tiene premios
Natalie Christian,-1,Reparto. Equipos adicionales,"California Casanova, Club Fed, Channels",No tiene premios
Troy Clark,-1,Reparto,American Reel,No tiene premios
Jason Dixie,-1,Reparto. Dirección de la segunda unidad o asistencia a dirección. Cámara y electricidad,"En compañía de hombres, The Shade Shepherd, Sand Castles",No tiene premios
Patrick Swayze,1952,Reparto. Producción. Equipos adicionales,"Dirty Dancing, Ghost (Más allá del amor), Le llaman Bodhi",Otros premios
Lisa Niemi,1956,Reparto. Dirección. Equipos adicionales,"One Last Dance, La loca aventura del matrimonio, Super Force",No tiene premios
George De La Pena,1955,Reparto. Equipos adicionales,"Poderosa Afrodita, Escápate como puedas, Nijinsky",No tiene premios
Matthew Walker,1942,Reparto,"Alone in the Dark, Wicker Man, Mujercitas",Otros premios
Stefan Wenta,-1,Equipos adicionales. Reparto,"La fuga de Logan, F de Flint, Rojos",No tiene premios
Timothy Webber,-1,Reparto,"La guerra del planeta de los simios, El séptimo hijo, Cedar Cove",Otros premios
Marie Stillin,-1,Reparto,"Stargate SG-1, The Commish, Sentinel",No tiene premios
Aundra Ford,-1,Reparto,One Last Dance,No tiene premios
Daniel Heifetz,-1,Reparto. Banda sonora,"One Last Dance, Camera Three, The Mind of Music",No tiene premios
Elena Heifetz,-1,Reparto. Banda sonora,One Last Dance,No tiene premios
Jude Law,1972,Reparto. Producción. Dirección,"El talento de Mr. Ripley, Closer: Cegados por el deseo, El gran hotel Budapest",Nominado para 2 premios Óscar
Nicole Kidman,1967,Reparto. Producción. Música,"Moulin Rouge, Las horas, Los secretos del corazón",Ganó 1 premio Óscar
Renée Zellweger,1969,Reparto. Producción. Guion,"Chicago, Cold Mountain, Jerry Maguire",Ganó 2 premios Óscar
Eileen Atkins,1934,Reparto. Guion. Equipos adicionales,"Gosford Park, Cold Mountain, Un sueño para ella",Ganó 1 premio Primetime Emmy
Brendan Gleeson,1955,Reparto. Dirección. Producción,"El irlandés, Calvary, Escondidos en Brujas",Nominado para 1 premio Óscar
Philip Seymour Hoffman,1967,Reparto. Producción. Dirección,"The Master, Truman Capote, Antes que el diablo sepa que has muerto",Ganó 1 premio Óscar
Natalie Portman,1981,Reparto. Producción. Dirección,"Cisne negro, V de vendetta, Jackie",Ganó 1 premio Óscar
Giovanni Ribisi,1974,Reparto. Producción. Dirección de fotografía y cámara,"El informador, Sky Captain y el mundo del mañana, Avatar",Nominado para 1 premio Primetime Emmy
Donald Sutherland,1935,Reparto. Producción. Guion,"Los juegos del hambre: En llamas, Pride & Prejudice (Orgullo y prejuicio), Klute",Ganó 1 premio Primetime Emmy
Ray Winstone,1957,Reparto. Producción. Banda sonora,"Infiltrados, Beowulf, Sexy Beast",Nominado a 2 premios BAFTA
Elijah Wood,1981,Reparto. Producción. Dirección,"El señor de los anillos: La comunidad del anillo, El señor de los anillos: Las dos torres, El señor de los anillos: El retorno del rey",Otros premios
Viggo Mortensen,1958,Reparto. Producción. Dirección,"El señor de los anillos: El retorno del rey, Captain Fantastic, El señor de los anillos: Las dos torres",Nominado para 3 premios Óscar
Ian McKellen,1939,Reparto. Guion. Producción,"El señor de los anillos: La comunidad del anillo, El señor de los anillos: El retorno del rey, Dioses y monstruos",Nominado para 2 premios Óscar
Orlando Bloom,1977,Reparto. Producción. Banda sonora,"El señor de los anillos: La comunidad del anillo, Piratas del Caribe: La maldición de la Perla Negra, El señor de los anillos: El retorno del rey",Otros premios
Noel Appleby,-1,Reparto,"El señor de los anillos: La comunidad del anillo, El señor de los anillos: El retorno del rey, Navigator, una odisea en el tiempo",Otros premios
Ali Astin,1996,Reparto. Banda sonora,"El señor de los anillos: El retorno del rey, Bad Kids of Crestview Academy, Matter of Time",No tiene premios
Sean Astin,1971,Reparto. Producción. Dirección,"El señor de los anillos: Las dos torres, El señor de los anillos: El retorno del rey, El señor de los anillos: La comunidad del anillo",Nominado para 1 premio Óscar
David Aston,-1,Reparto,"Matrix, El señor de los anillos: El retorno del rey, Underworld: La rebelión de los licántropos",No tiene premios
John Bach,1946,Reparto. Equipos adicionales,"El señor de los anillos: Las dos torres, Farscape: Las guerras pacificadoras, El señor de los anillos: El retorno del rey",Otros premios
Sean Bean,1959,Reparto. Producción. Animación,"El señor de los anillos: La comunidad del anillo, Juego de tronos, Black Death (Garra negra)",Ganó 2 premios BAFTA
M. Emmet Walsh,1935,Reparto. Producción. Especialistas,"Blade Runner, Sangre fácil, Un loco anda suelto",Otros premios
Mariette Hartley,1940,Reparto. Guion. Producción,"La Masa, Duelo en la alta sierra, El hombre de California",Ganó 1 premio Primetime Emmy
Vincent Schiavelli,1948,Reparto,"El mañana nunca muere, Ghost (Más allá del amor), Aquel excitante curso",No tiene premios
Camille Solari,-1,Guion. Dirección. Producción,"Charlie, The Arsenio Hall Show, Comedy Central Sit N Spin",No tiene premios
Jimbo Barnett,-1,Reparto. Producción. Dirección,"Oh, Mr. Faulkner, Do You Write?, Lotto, Beyond Belief: Fact or Fiction",No tiene premios
Samantha Carpel,-1,Reparto,"Dos tontos muy tontos, La cara del terror, Bulldog",No tiene premios
Shane Edelman,-1,Reparto. Equipos adicionales. Dirección,"Atrápame si puedes, Plan de vuelo: Desaparecida, La sombra del poder",Otros premios
Andrea La Bella,-1,Reparto,"Brigada 49, Baggage, Boychick",No tiene premios
Christian Leffler,-1,Reparto,"Madhouse, Y el ritmo sigue, Killer Flick",No tiene premios
Barbara Lettieri,-1,Reparto,"Days of Our Lives, Belleza y poder, Baggage",No tiene premios
Cuba Gooding Jr.,1968,Reparto. Guion. Producción,"Jerry Maguire, Me llaman Radio, Estallido",Ganó 1 premio Óscar
Beyoncé,1981,Music Artist. Reparto. Música,"Dreamgirls, Obsesionada, Austin Powers en Miembro de Oro",Nominado para 1 premio Óscar
