Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
The Cold Light of Day,"6,2",,,No disponible,tt0110125
Lifebreath,"5,4",,,No disponible,tt0102267
Strawberry Fields,"6,5",,,No disponible,tt0108233
Annie's Garden,"4,8",,,No disponible,tt0109136
Lethal Seduction,"4,2",,,No disponible,tt0110331
This Is the Sea,"6,1",,,No disponible,tt0111416
Alien Visitor,"5,7",,,No disponible,tt0112974
Visidela,"6,9",,,No disponible,tt0111632
Taranthriller,"2,4",,,No disponible,tt0108294
Day at the Beach,"5,9",,,No disponible,tt0112810
Kabel und Liebe,"6,8",,,No disponible,tt0113513
Gettin' Up,"3,0",,,No disponible,tt0113162
Lewis & Clark & George,"5,3",,,No disponible,tt0113646
Farmer & Chase,"5,0",,,No disponible,tt0113031
Atrapados,"4,1",,,No disponible,tt0112629
Agnichakra,"2,8",,,No disponible,tt0112308
Tormenta de fuego,"3,4",,,No disponible,tt0113067
A tres bandas,"5,8",,,No disponible,tt0115447
Código nuclear,"4,2",,,No disponible,tt0115647
Champions,"3,8",,,No disponible,tt0115864
Las dos huérfanas vampiras,"5,1",Jean Rollin,Jean Rollin,"A pair of teenage girls, who are blind by day, but when the sun goes down, they roam the streets to quench their thirst for blood.",tt0112856
Magic in the Mirror: Fowl Play,"4,9",,,No disponible,tt0116960
Black Scorpion II: Aftershock,"3,7",Jonathan Winfrey,Craig J. Nevius,"Darcy is back on the force, but still fights on as the Black Scorpion because ""it's in her nature."" This time, she fights Gangster Prankster; and a new villian emerges when the Mayor tries to protect his federal earthquake relief money: Aftershock. When the two villians team up and kidnap Argyle's girlfriend, Black Scorpion is faced with the theft of the Scorpionmobil... Leer todo",tt0115696
A Ostra e o Vento,"7,2",,,No disponible,tt0117264
Un hombre lobo americano en París,"5,1",Anthony Waller,"John Landis, Tim Burns, Tom Stern",Un joven estadounidense establece contacto involuntariamente con hombres lobo franceses que han creado un suero que les permite transformarse cuando quieran.,tt0118604
Muerte inocente,"5,2",,,No disponible,tt0116048
Historias de medianoche,"5,8",Matt CooperMartin KunertDavid Semel,"Martin Kunert, Eric Manes, Matt Cooper","Un grupo de adolescentes se entretiene contando una antología de famosas leyendas urbanas con un toque moderno; incluyendo puntos de besos, monstruos, psicópatas y fantasmas.",tt0115813
Perversión asesina,"4,9",,,No disponible,tt0115584
Illicit Dreams 2,"3,7",,,No disponible,tt0116611
Midnight Blue,"4,7",,,No disponible,tt0117041
Carretera perdida,"7,6",David Lynch,"David Lynch, Barry Gifford","Tras un extraño encuentro en una fiesta, un saxofonista de jazz se ve incriminado en el asesinato de su mujer y es enviado a prisión, donde inexplicablemente cambia de forma y se convierte en un joven mecánico.",tt0116922
The Big Empty,"5,9",Jack Perez,"James Mc, ManusJack Perez","A woman hires P.I. Lloyd Meadows to investigate her husband, a respectable social worker. What seemed to be a simple case of adultery turns into an ugly mess fast.",tt0118713
Convict 762,"3,3",,,No disponible,tt0118886
