Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Harry Potter y el cáliz de fuego,"7,7",Mike Newell,"Steve Kloves, J.K. Rowling","Harry Potter se encuentra compitiendo en un peligroso torneo entre escuelas de magia rivales, pero está distraído por pesadillas recurrentes.",tt0330373
Keep Your Distance,"5,1",,,No disponible,tt0337656
El afinador de terremotos,"6,2",Stephen QuayTimothy QuayWeiser Quay,"Alan Passes, Stephen Quay, Timothy Quay",Dark fairy-tale about a demonic doctor who abducts a beautiful opera singer with designs on transforming her into a mechanical nightingale.,tt0342882
Alchemy,"5,3",,,No disponible,tt0285682
Aspects of Love,"7,4",,,No disponible,tt0287927
Rent,"6,8",Chris Columbus,"Jonathan Larson, Stephen Chbosky","Esta es la versión cinematográfica del musical ganador de un premio Pulitzer y Tony sobre los bohemios en el East Village de la ciudad de Nueva York que luchan con la vida, el amor y el SIDA, y los impactos que tienen en Estados Unidos.",tt0294870
Going Shopping,"5,1",Henry Jaglom,"Victoria Foyt, Henry Jaglom",A clothing designer tries to save her struggling boutique store by having a tumultuous weekend sale of her shop's inventory by playing on the addictions of shopping for the women of Beverly Hills.,tt0295605
False River,"6,0",,,No disponible,tt0160261
Ripley Under Ground,"5,9",,,No disponible,tt0219171
Cl.One,"3,3",,,No disponible,tt0227189
Imposture,"6,4",,,No disponible,tt0261759
Master i Margarita,"6,4",,,No disponible,tt0110476
Seven Days of Grace,"3,5",,,No disponible,tt0136517
Viúva Rica Solteira Não Fica,"6,7",,,No disponible,tt0166871
Hijos de los hombres,"7,9",Alfonso Cuarón,"Alfonso Cuar, ónTimothy J. SextonDavid Arata","En el 2027, en un mundo caótico en el que las mujeres se han vuelto estériles sin que se sepa el motivo, un antiguo activista accede a prestar su ayuda para transportar a una mujer milagrosamente embarazada a un santuario junto al mar.",tt0206634
False Prophets,"6,3",,,No disponible,tt0260042
Live Freaky Die Freaky,"4,8",,,No disponible,tt0197633
Death of a Saleswoman,"2,2",Donna Wheeler,Donna Wheeler,"Top-ranking RubberTubber saleswoman Agatha J. Ruby was brutally beaten and shot on her morning jog by an unknown assailant. Over six thousand dollars worth of her best plastic storage ware was stolen from her trunk. Nearly all 200 residents in her hometown of Mametville, Washington knew her personally. All were named as suspects. See if you can figure out her killer.",tt0204250
Funny Money,"5,2",Leslie Greif,"Harry Basil, Leslie Greif, Ray Cooney","When Henry Perkins accidentally trades his briefcase with a man, he finds five million dollars inside. However, the cash draws in Mr. Big, who wants to reclaim his money.",tt0244521
Cómo prepararse para una cita en Queens,"4,3",Michelle Danner,Richard Vetere,"A self-proclaimed dating expert tries to get his best friend, who lost his wife two years earlier, back into the dating scene, with disastrous results.",tt0270417
Mothers and Daughters,"5,4",,,No disponible,tt0275258
Ozzie,"4,3",William Tannen,"Michael Lach, Lori O'BrienKyle Southam","Ozzie (Steven Kynman) is a young koala living in Australia. He is kidnapped by two goons, Buzz Maroni (Peter Rowley) and Tank Emerson (Ralf Moeller), who work for Max Happy (Dame Joan Collins), President of Happy Toys. Legend says that Ozzie speaks English and Max wants to clone Ozzie into hundreds of koalas and sell them for a fortune as talking pets. Buzz and Tank ""... Leer todo",tt0280000
Yo serví al rey de Inglaterra,"7,3",Jirí Menzel,"Bohumil Hrabal, Jirí Menzel",A look at the glamorous life at an old-world Prague hotel.,tt0284363
Misión: Imposible 3,"6,9",J.J. Abrams,"Alex Kurtzman, Roberto Orci, J.J. Abrams",Agente del IMF Ethan Hunt se enfrenta a un peligroso y sádico traficante de armas que amenaza su vida y la de su prometida.,tt0317919
The Drop,"2,6",Kevin Lewis,"Troy Scott, Kevin Lewis","Un estudiante universitario es contratado simplemente para entregar un coche en un aparcamiento de Los Ángeles. El trabajo parece demasiado fácil, así que revisa el maletero y se convierte en objetivo de una guerra secreta.",tt0340084
Detroit,"5,4",,,No disponible,tt0337609
Meteoro,"6,1",,,No disponible,tt0339382
Superman Returns: El regreso,"6,1",Bryan Singer,"Michael Dougherty, Dan Harris, Bryan Singer","Superman reaparece después de una larga ausencia, pero es desafiado por un viejo enemigo que utiliza la tecnología kriptoniana para dominar el mundo.",tt0348150
Whispers from a Shallow Grave,"4,4",,,No disponible,tt0144280
Érase una vez... un cuento al revés,"4,5",Paul BolgerYvette KaplanGreg Tiernan,"Robert Moreland, Doug Langdale, Andre Sikojev","An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",tt0308353
Arthur y los minimoys,"6,0",Luc Besson,"Céline GarciaLuc Besson, Patrice Garcia","Arthur, un niño de diez años, en un intento de salvar la casa de su abuelo de la demolición, va en busca de un tesoro escondido en la tierra de los minimoys, gente diminuta que vive en armonía con la naturaleza.",tt0344854
La ciencia del sueño,"7,2",Michel Gondry,Michel Gondry,Un hombre que vive en trance en su onírica imaginación se enamora de una mujer y siente que puede enseñarle su universo singular.,tt0354899
Love Hollywood Style,"4,7",,,No disponible,tt0361852
La novia del mar,"6,0",José Pepe Bojórquez,"José Pepe Boj, órquezDavid Howard","On an island across the sea lies a village full of romance, wonder and mystery; a timeless place where people carry strong beliefs that can fulfill the heart's deepest desires. A beautiful woman, led to believe she has powerful ties to the sea, defies everyone to prove them wrong, in a world where man and nature connect in improbable ways, where myths are real and tru... Leer todo",tt0367567
Beyond the Wall of Sleep,"2,9",,,No disponible,tt0279688
Under Surveillance,"3,8",Dave Campfield,Dave Campfield,"When a dead body turns up, a local group of Satanists seem the most likely suspects. With the help of a friend, a criminal law student decides to conduct his own investigation by placing his neighbors under 24/7 video surveillance.",tt0287072
Through the Looking Glass,"5,2",,,No disponible,tt0320626
The Creature of the Sunny Side Up Trailer Park,"3,8",,,No disponible,tt0328899
Satan's Playground,"3,5",,,No disponible,tt0331334
Down the Road,"7,7",,,No disponible,tt0296604
El color del crimen,"5,2",Joe Roth,Richard Price,Un detective de policía negro debe resolver un extraño caso de un niño secuestrado y hacer frente a una gran protesta racial.,tt0349467
El inquisidor,"5,4",,,No disponible,tt0353357
No se lo digas a nadie,"7,5",Guillaume Canet,"Guillaume Canet, Harlan Coben, Philippe Lefebvre",Un descubrimiento accidental cerca de la propiedad de un doctor reabre las dolorosas heridas abiertas hace 8 años con el asesinato de su esposa.,tt0362225
The Worst Day Ever,No disponible,,,No disponible,tt0291569
An Existential Affair,"4,1",Peggy Bruen,Peggy Bruen,"The story of two lovers, a woman and a Young Republican, who meet in hotel rooms over the 1990s to explore their sexual prowess. Only when they venture out of 'the box' does reality start to tear at the fabric of their private, existential affair. Nothing stays the same. They marry. Guess what happens next?",tt0302545
Humko Tumse Pyaar Hai,"5,4",,,No disponible,tt0314186
Loving Annabelle,"6,2",Katherine Brooks,"Katherine Brooks, Olivia Bohnhoff,  HarrisKaren Klopfenstein","La inteligente Annabelle comienza en un internado católico femenino de élite tras ser expulsada de sus dos colegios anteriores. Se declara abiertamente lesbiana y se siente atraída por su profesora, Simone.",tt0323120
1972,"6,0",,,No disponible,tt0337564
Der Liebeswunsch,"5,7",,,No disponible,tt0353667
Calibre 45,"5,5",,,No disponible,tt0259822
Camino sin retorno,"6,9",,,No disponible,tt0325011
5ive!,"6,0",,,No disponible,tt0327389
I Viceré,"6,2",,,No disponible,tt0196186
Hermano,"7,3",,,No disponible,tt0206806
Despierto,"6,5",Joby Harold,Joby Harold,Un joven adinerado que se somete a una operación de trasplante de corazón descubre que el equipo quirúrgico pretende asesinarle.,tt0211933
Pasión sin fronteras,"6,9",Vic Sarin,"Patricia Finn, Vic Sarin","During the turmoil and violence of Partition, a Sikh ex-soldier, haunted by war, offers shelter to a young Muslim woman who has been separated from her family.",tt0213985
Death and Taxis,"8,1",Kevin Mukherji,Nick Pullia,"Take a fascinating journey in Death And Taxis where the journey is the destination, and the next world might be just a cab ride away. Hugging the double-yellow line between this life and the next, one big city taxi carries the stories of several drivers and passengers, each contending with intensely psychological and sometimes supernatural brushes with death. Whether ... Leer todo",tt0218140
Terra Sonâmbula,"6,7",,,No disponible,tt0242029
Hitler Meets Christ,"4,6",,,No disponible,tt0243649
La ley de Brooklyn,"6,3",Michael Corrente,Terence Winter,"Brooklyn, 1985. With the mob world as a backdrop, three life-long friends struggle with questions of love, loss and loyalty.",tt0283503
Universal Groove,"5,5",,,No disponible,tt0287075
The Junior Defenders,"4,3",Keith Spiegel,Keith Spiegel,A deranged fan goes on a mission to kidnap the former cast of a 1970s kids superhero show in order to produce his own episode.,tt0119231
Tortilla Heaven,"5,3",Judy Hecht Dumontet,"Judy Hecht,  DumontetJulius Robinson, Mitchell Leib","Isidor's Tortilla Heaven is the best restaurant in the world, but has few customers and makes little money in a small town. During Mass one Sunday he is blessed with a miracle: the face of Jesus appears on one of his tortillas.",tt0227671
The Bros.,"2,8",,,No disponible,tt0275236
Hora punta 3,"6,2",Brett Ratner,"Jeff Nathanson, Ross La, Manna","Tras el intento de asesinato del embajador chino, Lee y Carter se dirigen a Paris para proteger a una mujer que tiene conocimiento de los líderes secretos de las Tríadas, el sindicato criminal más peligroso.",tt0293564
Hollywood Dot Com,"6,1",,,No disponible,tt0294654
The Man Who Would Be Queen,"5,8",,,No disponible,tt0300007
Marigold,"4,9",Willard Carroll,Willard Carroll,Ali Larter plays an American actress who becomes immersed in the Bollywood film world.,tt0329354
"So, You've Downloaded a Demon","5,8",,,No disponible,tt0348062
Ghost Rider: El motorista fantasma,"5,3",Mark Steven Johnson,"Mark Steven,  Johnson","Cuando el motociclista Johnny Blaze vende su alma para salvar la vida de su padre, se transforma en El Motorista Fantasma, el cazarrecompensas del Diablo, y es enviado a cazar a los pecadores.",tt0259324
Intergalactic Combat,"6,5",,,No disponible,tt0330972
La jungla 4.0,"7,1",Len Wiseman,"John Carlin, Roderick Thorp, Mark Bomback",John McClane y un joven hacker unen sus fuerzas para acabar con el maestro del ciberterrorismo Thomas Gabriel en Washington D. C.,tt0337978
The Chosen One,"5,4",Chris Lackey,"Chad Fifer, Chris Lackey","Being a superhero is easy, but what if you are the Chosen One?",tt0357545
Dragon Wars,"3,5",Hyung-rae Shim,Hyung-rae Shim,"Una vez cada 500 años, antiguas criaturas míticas llegan a la Tierra, causando estragos y destrucción. Esta vez deben ser detenidos.",tt0372873
Harry Potter y la Orden del Fénix,"7,5",David Yates,"Michael Goldenberg, J.K. Rowling","Harry y Dumbledore intentan alertar a la comunidad mágica del retorno de Voldemort, para burla general, y se convierten en el foco de una campaña de descrédito a manos de las autoridades mágicas, mientras una burócrata autoritaria toma las riendas de Hogwarts.",tt0373889
Ratatouille,"8,1",Brad BirdJan Pinkava,"Brad Bird, Jan Pinkava, Jim Capobianco",Una rata que sabe cocinar establece una inusual alianza con un joven trabajador de la cocina de un famoso restaurante de París.,tt0382932
La brújula dorada,"6,1",Chris Weitz,"Chris Weitz, Philip Pullman","En un universo paralelo, la joven Lyra Belacqua viaja al lejano norte para salvar a su mejor amigo y a otros niños secuestrados de los terribles experimentos de una misteriosa organización.",tt0385752
Descubriendo a los Robinsons,"6,8",Stephen J. Anderson,"Jon Bernstein, Michelle Bochner,  SpitzDon Hall","Lewis es un brillante inventor que conoce a un misterioso desconocido llamado Wilbur Robinson, que transporta a Lewis en una máquina del tiempo y juntos forman un equipo para perseguir al tipo del bombín.",tt0396555
La marca del lobo,"5,3",,,No disponible,tt0397044
Each Time I Kill,"5,7",,,No disponible,tt0317401
Kottentail,"3,7",,,No disponible,tt0361724
The Devil's Muse,"3,9",,,No disponible,tt0372005
Broke Sky,"6,0",Thomas L. Callaway,"Frank Patterson, Thomas L. CallawayDan Golden","Two friends work by removing animal bones, one day they find a disturbing finding that will change the way they see themselves and their friendship.",tt0337899
Captivity,"4,6",Roland Joffé,"Larry Cohen, Joseph Tura","Un hombre y una mujer se despiertan y se encuentran atrapados en un sótano. Mientras su secuestrador los vuelve locos, se revela la verdad sobre su horrible secuestro.",tt0374563
Rise: Cazadora de sangre,"4,9",Sebastian Gutierrez,Sebastian Gutierrez,"A reporter wakes up in a morgue and finds herself a member of the undead, before vowing revenge against the sect which put her there.",tt0389328
Dreamland,"3,5",,,No disponible,tt0391095
88 minutos,"5,9",Jon Avnet,"Gary Scott,  Thompson","El día en que se supone que deben ejecutar a un asesino en serie que ayudó a encerrar, un destacado psicólogo forense y profesor universitario recibe una llamada informándole que le quedan 88 minutos de vida.",tt0411061
El hombre de Londres,"7,0",Béla TarrÁgnes Hranitzky,"Georges Simenon, Béla TarrLászló Krasznahorkai","Tras presenciar un asesinato durante su turno de noche como guardagujas ferroviario, un hombre encuentra un maletín lleno de dinero. Mientras él y su familia mejoran su nivel de vida, otros empiezan a buscar el maletín desaparecido.",tt0415127
Jin yu liang yuan hong lou meng,"6,7",,,No disponible,tt0075959
Romantik,"4,4",,,No disponible,tt0314589
Lucky You,"5,9",Curtis Hanson,"Eric Roth, Curtis Hanson","Un jugador de póquer famoso intenta ganar un torneo en Las Vegas, sin embargo está librando una batalla perdida con sus problemas personales.",tt0338216
Fighting Words,"4,6",E. Paul Edwards,E. Paul Edwards,Sometimes we fight with fists and sometimes we kill with words.,tt0354578
Susan Hero,"7,1",Jason Rosette,Jason Rosette,"Accompanied by her illegal immigrant companion, a woman desperate to clone her deceased child steals cash and heads across country in search of a maverick animal cloning expert who says he can help her.",tt0362209
Playas Ball,"5,1",Jennifer Harper,"Dale Davis, Jennifer Harper",Cedric Tinsel (Allen Payne) is a 27-year-old professional basketball player. He is on a verge of signing a lucrative endorsment contract and proposing to his girlfriend Jill Hamlin (Chelsi Smith).,tt0368151
Crossing,"3,8",,,No disponible,tt0370433
Red Is the Color of,"4,6",Anne Norda,Anne Norda,"The tense marriage between two painters is shaken and stirred when the husband's provocative free-spirited nude model ignites his wife's sexual and spiritual awakening. In a three way game of subtle seduction, each of the three confront desires and frustrations that threaten to destroy the illusions of their lives.",tt0373263
Mystery of the Bloody Mansion,"5,6",,,No disponible,tt0198794
Antes que el diablo sepa que has muerto,"7,3",Sidney Lumet,Kelly Masterson,"Cuando dos hermanos organizan un atraco en la joyería de sus padres, el trabajo sale terriblemente mal, desencadenando una serie de eventos que los conducen, junto a su padre y la esposa de uno de los hermanos, hacia un clímax demoledor.",tt0292963
Still Waters Burn,"6,7",,,No disponible,tt0117743
Quality Time,"5,8",,,No disponible,tt0119970
Geliebte Clara,"5,5",,,No disponible,tt0177636
El robo del siglo,"7,2",Roger Donaldson,"Dick Clement, Ian La,  Frenais","Martine ofrece a Terry una pista sobre un golpe infalible a un banco en la calle Baker de Londres. Su objetivo es una habitación llena de cajas de seguridad con millones en efectivo y joyas, junto con un tesoro de secretos sucios.",tt0200465
Berlin Calling,"7,2",,,No disponible,tt0211946
Jackson,"7,3",J.F. Lawton,J.F. Lawton,"Jackson is about two homeless men in Los Angeles, California, Donald and Sam. At the start of the day, Donald is given a twenty dollar bill (also known as a ""Jackson""). The film follows the two and shows their adventures throughout the day with this money, and features songs from various operas.",tt0313088
A Circle on the Cross,"4,8",,,No disponible,tt0317249
Brothel,"3,6",Amy Waddell,Amy Waddell,"After her lover commits suicide, Julianne runs away from the city and moves in the ghost town of Jerome. She purchases an abandoned brothel and sets to work turning it into a hotel; but then she comes to know the ghosts of the brothel",tt0319115
Biriken,"6,4",,,No disponible,tt0115686
Big River Blues,No disponible,,,No disponible,tt0340020
Delgo,"4,3",Marc F. AdlerJason Maurer,"Patrick J. CowanCarl Dream, Jennifer Jones, -Mitchell","Delgo, an adventurous but naive teenager, must rally his group of friends to protect their world from conflict between the Lockni and Nohrin people.",tt0361500
Lymelife,"6,8",Derick Martini,"Derick Martini, Steven Martini",A family unit begins to bow under the pressure of a failing marriage.,tt0363780
Como en casa en ningún sitio,"5,7",Seth Gordon,"Matt Allen, Caleb Wilson, Jon Lucas",Una pareja se esfuerza por visitar a sus cuatro padres divorciados en Navidad.,tt0369436
Muhômatsu no isshô,"7,3",,,No disponible,tt0036177
The Flyboys,"6,8",Rocco DeVilliers,"Gregory C. HaynesJason deVilliersRocco De, Villiers",Dos niños tienen su coraje puesto a prueba cuando accidentalmente se escapan a bordo de un avión propiedad de la mafia.,tt0357668
Babylon A.D.,"5,5",Mathieu Kassovitz,"Maurice G. DantecMathieu Kassovitz, Éric Besnard",El mercenario Toorop asume el trabajo de alto riesgo de escoltar a una mujer de Rusia a América. No sabe que ella es huésped de un organismo que un culto quiere cosechar para producir un mesías genéticamente modificado.,tt0364970
El Barón Rojo,"6,3",Nikolai Müllerschön,Nikolai Müllerschön,De la carnicería y el caos de la Primera Guerra Mundial surgió un hombre cuyo nombre pasaría a la leyenda. ¿Caballero? ¿Guerrero? ¿Aventurero? Manfred Von Richthofen es conocido por siempre como El Barón Rojo.,tt0365675
Indiana Jones y el reino de la calavera de cristal,"6,2",Steven Spielberg,"David Koepp, George Lucas, Jeff Nathanson","En 1957, el arqueólogo y aventurero Indiana Jones es llamado de nuevo a la acción y se ve envuelto en un complot soviético para descubrir el secreto de unos misteriosos artefactos conocidos como las calaveras de cristal.",tt0367882
Iron Man,"7,9",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Tras de estar cautivo en una cueva afgana, el multimillonario ingeniero Tony Stark crea una armadura única para luchar contra el mal.",tt0371746
Viaje al centro de la Tierra,"5,8",Eric Brevig,"Michael D. WeissJennifer Flackett, Mark Levin","En una búsqueda para averiguar qué pasó con su hermano desaparecido, un científico, su sobrino y su guía de montaña descubren un fantástico y peligroso mundo perdido en el centro de la Tierra.",tt0373051
Far Cry,"3,2",Uwe Boll,"Michael Roesch, Peter Scheerer, Masaji Takei","La trama sigue al soldado Jack Carver y la reportera Valerie Constantine, quienes se encuentran investigando una isla repleta de super soldados modificados genéticamente.",tt0400426
In Your Dreams,"5,3",,,No disponible,tt0373028
Carlston za Ognjenku,"6,8",,,No disponible,tt0380249
El secreto de la última luna,"6,0",Gabor Csupo,"Lucy Shuttleworth, Graham Alborough, Elizabeth Goudge",Maria inherits a book of secrets from her dad. She moves to her uncle's Moonacre estate. A family curse was cast on the valley. Only Maria can break it using her book.,tt0396707
La isla de Nim,"6,0",Jennifer FlackettMark Levin,"Joseph Kwong, Paula Mazur, Mark Levin",Una joven vive en una isla desierta con su padre científico y escribe cartas al elusivo autor de sus novelas favoritas.,tt0410377
Hellboy II: El ejército dorado,"7,0",Guillermo del Toro,Guillermo del ToroMike Mignola,"Un príncipe del mundo mítico inicia una rebelión contra la humanidad para gobernar la Tierra, y Hellboy su equipo deben luchar para impedir que localice al todopoderoso ejército dorado.",tt0411477
Las crónicas de Spiderwick,"6,5",Mark Waters,"Karey Kirkpatrick, David Berenbaum, John Sayles","Al mudarse a la destartalada finca de Spiderwick con su madre, los hermanos gemelos Jared y Simon Grace, junto con su hermana Mallory, se ven arrastrados a un mundo alternativo lleno de hadas y otras criaturas.",tt0416236
El valiente Despereaux,"6,1",Sam FellRobert Stevenhagen,"Kate Di, CamilloGary Ross, Will Mc, Robb",Un ratón inusualmente valiente ayuda a restaurar la felicidad en un reino triste.,tt0420238
The Horror Vault,"4,0",,,No disponible,tt0369424
The Eye (Visiones),"5,4",David MoreauXavier Palud,"Sebastian Gutierrez, Yuet-Jan Hui, Oxide Chun,  Pang",Una mujer recibe un trasplante de ojos que le permite ver el mundo sobrenatural.,tt0406759
Beneath the Mississippi,"2,6",,,No disponible,tt0429658
Death's Door,"4,6",George Scileppi,"Kenneth Gust, Alex Keir, George Scileppi","When a television psychic begins to get real results, the cast and crew of the show find themselves trapped by vengeful spirits.",tt0439536
Something's Wrong in Kansas,"6,4",,,No disponible,tt0443648
Autopsy,"5,0",Adam Gierasch,"Jace Anderson, Adam Gierasch, E.L. Katz",A young woman tries to find her injured boyfriend in a bizarre and dangerous hospital.,tt0443435
X-Files: Creer es la clave,"5,9",Chris Carter,"Frank Spotnitz, Chris Carter",Mulder y Scully son llamados de nuevo al servicio por el FBI cuando un antiguo sacerdote afirma estar recibiendo visiones psíquicas relacionadas con un agente secuestrado.,tt0443701
Surveillance,"6,3",Jennifer Lynch,"Kent Harper, Jennifer Lynch",Two FBI agents attempt to clarify the murders occurring in a desolate region. They approach the witnesses of the latest incident with the help of the local police. All of them hide something and all have wildly different stories to tell.,tt0409345
Quid Pro Quo,"6,1",Carlos Brooks,Carlos Brooks,Un periodista de radio semiparalizado es enviado a investigar una historia que lo lleva a un viaje de autorrealización.,tt0414426
Hoyuelo,"3,6",,,No disponible,tt0447927
Passengers,"5,8",Rodrigo García,Ronnie Christensen,"Una terapeuta especializada en tratar el duelo, que trabaja con un grupo de supervivientes de un accidente aéreo, se ve inmersa en un misterio cuando sus clientes empiezan a desaparecer uno a uno.",tt0449487
Ella es el partido,"6,0",George Clooney,"Duncan Brantley, Rick Reilly","En 1925, un jugador de fútbol profesional emprendedor convence al héroe del fútbol americano universitario demasiado bueno para ser verdad de Estados Unidos de jugar para su equipo y evitar que la liga se arruine.",tt0379865
ISS Space Agency,No disponible,,,No disponible,tt0399976
Green River,"3,2",Sam Taybi,"Justin Beaupre, Andrew Cappelletti, Tim Durr","Haunted by her sister's mysterious disappearance many years ago at Green River, Charisma Kavanagh (Danielle Franke) returns to silence her ghosts and make peace with the past.",tt0403085
Apaföld,"5,2",,,No disponible,tt0143558
Rózsaszín sajt,"5,9",,,No disponible,tt0153140
Sanam Teri Kasam,"4,2",,,No disponible,tt0205380
Twice as Dead,"7,6",,,No disponible,tt0254832
Railed,"7,7",Ryan Fox,Ryan Fox,"""Railed"" blurs the line between reality and fiction, taking place on a cross-country train trip from Los Angeles to New York. Passengers, unaware, become the stars and plot of the film.",tt0311698
Los mundos de Coraline,"7,8",Henry Selick,"Henry Selick, Neil Gaiman","Una aventurera niña de 11 años encuentra otro mundo que es una versión extrañamente idealizada de su frustrante hogar, pero que tiene siniestros secretos.",tt0327597
Mitsein,"7,8",,,No disponible,tt0344074
Promesa sangrienta,"6,7",Ben Ramsey,Michael Andrews,"En Los Ángeles, un ex convicto toma por asalto el mundo clandestino de la lucha en su búsqueda por cumplir una promesa a un amigo muerto.",tt0346631
Malditos bastardos,"8,4",Quentin Tarantino,Quentin Tarantino,"En la Francia ocupada por los nazis durante la Segunda Guerra Mundial, un plan para asesinar a los líderes nazis por parte de un grupo de soldados judíos estadounidenses coincide con los planes vengativos de la dueña de un cine.",tt0361748
The box,"5,6",Richard Kelly,"Richard Kelly, Richard Matheson","Una pequeña caja de madera llega a la puerta de un matrimonio que sabe que si la abren ganarán un millón de dólares, y una persona a la que desconocen morirá.",tt0362478
El reino de los cielos,"6,0",,,No disponible,tt0288190
Unter Strom,"5,4",Zoltan Paul,"Uli Br, éeZoltan Paul","A comedy about relationships. A just-divorced couple, the wife's lover; a convicted criminal, his pregnant wife and his best friend; the economy minister and his secret lover; all parties are under stress in a hostage situation and surrounded by uncoordinated police troops.",tt0304876
Chinango,"5,3",,,No disponible,tt0312958
Los muertos van deprisa,"5,8",,,No disponible,tt0353765
Two-Minute Heist,"5,1",,,No disponible,tt0365873
