Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
What Is It?,"5,3",,,No disponible,tt0118141
La novia cadáver,"7,4",Tim BurtonMike Johnson,"Tim Burton, Carlos Grangel, John August","Cuando un tímido novio practica sus votos matrimoniales ante la presencia inadvertida de una joven fallecida, esta se levanta de la tumba asumiendo que la ha tomado por esposa.",tt0121164
Shooting Vegetarians,"4,6",,,No disponible,tt0146272
El enemigo,"5,3",,,No disponible,tt0160706
Eve's Preyer,"7,2",,,No disponible,tt0187838
Berlin Nights,"6,5",,,No disponible,tt0195551
Thousands of Miles,No disponible,,,No disponible,tt0196155
Death-Defying Acts,No disponible,,,No disponible,tt0195565
The Naked Monster,"5,2",,,No disponible,tt0088751
Three,No disponible,,,No disponible,tt0159790
Angels with Angles,"4,8",Scott Edmund Lane,"Scott Edmund,  LaneMark Pietri","George Burns is no happy angel. Heaven is ""non-smoking"", but most importantly, he can't reunite with his wife Gracie.",tt0179803
Bob the Butler,"5,6",Gary Sinyor,"Jane Walker,  WoodSteven Manners, Gary Sinyor",Tom Green stars as a bumbling buffoon who lands at Butlering after working his way through all other 'A' and 'B' jobs.,tt0216584
Las chicas malas del valle,"3,7",John T. Kretchmer,"Paul Fleischman, Robert Lo, CashAndrew Lane","Three snobbish high school girls prematurely age brought on from a curse, a drug (or something) after the arrival of new transfer student whom they believe is connected to a murder they committed a year earlier. A fate worse than death.",tt0216746
Lucky 13,"4,5",,,No disponible,tt0222167
Slipdream,"6,6",,,No disponible,tt0226851
Star Wars: Episodio III - La venganza de los sith,"7,6",George Lucas,George Lucas,"Tras tres años de Guerras Clon, los jedi rescatan a Palpatine del Conde Dooku. Mientras Obi-Wan persigue una nueva amenaza, Anakin actúa como agente doble entre el Consejo Jedi y Palpatine, siendo atraído por un siniestro plan.",tt0121766
Los 4 Fantásticos,"5,7",Tim Story,"Mark Frost, Michael France, Stan Lee","Un grupo de astronautas adquiere superpoderes tras una exposición a la radiación cósmica y debe utilizarlos para oponerse a los planes de su enemigo, el Doctor Doom.",tt0120667
Striptease Baby Dolls from Cleveland Meet the Unkillables,"5,8",,,No disponible,tt0228906
Wilson Chance,"8,1",,,No disponible,tt0244306
Man Thing (La naturaleza del miedo),"4,1",,,No disponible,tt0290747
La maldicion del pirata,"3,4",,,No disponible,tt0295590
Dark Warrior,"3,4",,,No disponible,tt0301265
Last Mountain,"8,2",Robert Fleet,"Robert Fleet, Stephan Szpak, -Fleet","A homeless dying veteran, trying to find a Unicorn he believes lives in the mountains above Los Angeles, convinces a Latina immigrant to join his quest, provoking a tragic-comic chase as they are followed by the Border Patrol and her Lowrider cousins.",tt0234084
Mee-Shee: El gigante del agua,"5,3",John Henderson,Barry Authors,"A New York City oil company troubleshooter is brought to a remote B.C. lake to look for some lost machinery. Cancelling a trip to Disney World with his son, he decides to bring the boy along. They both end up experiencing more excitement than Mickey could ever conjure in Orlando, when they meet up with bad guys and a legendary creature.",tt0243462
Wallace & Gromit: La maldición de las verduras,"7,5",Steve BoxNick Park,"Steve Box, Nick Park, Mark Burton",Wallace y su leal perro Gromit se disponen a resolver el misterio tras la plaga que acecha los huertos de todos los vecinos y que amenaza con arruinar el torneo anual de verduras gigantes.,tt0312004
Lung do kei yuen,"5,0",,,No disponible,tt0327660
La maldición (Cursed),"5,1",Wes Craven,Kevin Williamson,"Un hombre lobo suelto en Los Ángeles cambia la vida de tres jóvenes que, tras ser mutilados por la bestia, aprenden que deben matarla para evitar convertirse ellos mismos en hombres lobo.",tt0257516
2001 maniacos,"5,3",Tim Sullivan,"Chris Kobin, Tim Sullivan, Chris Kobin","Eight college students travelling to Florida for Spring Break stumble into a remote town in Georgia, where they are set upon by the residents.",tt0264323
Frankenstein & the Werewolf Reborn!,"4,7",,,No disponible,tt0267506
From Venus,"4,5",,,No disponible,tt0274509
Jackpot,No disponible,,,No disponible,tt0153517
Firecracker,"5,0",Steve Balderson,"Steve Balderson, Clark Balderson","A young boy who lives in a dysfunctional home went to the carnival and met a singer. Shortly after, a murder took place. The town's sheriff is seeking answers. The singer is trying to escape her environment so is the boy. But both has to face their own horror.",tt0204322
The Krone Experiment,"7,0",J. Robinson Wheeler,"J. Craig Wheeler, J. Robinson Wheeler","A group of scientific intelligence experts must track down the source of a mysterious seismic signal that is causing pinpoints of destruction around the globe. When a Russian ship is disabled, tensions between Russia and the U.S. are revived, threatening to re-ignite the Cold War. When the team finally uncovers the truth about the Krone experiment, they discover a tic... Leer todo",tt0220605
Love Thy Neighbor,"3,3",Nick Gregory,"Nick Gregory, Kirk Aanes","Two married couples are about to give new meaning to the phrase Love Thy Neighbor. When these best friends become more than just friends, one simple game leads to another. A twisted comedy about relationships, deception, and consequences.",tt0304356
Los suicidas,"5,5",,,No disponible,tt0324107
